"Localidade","Zona","Agregado","Informante","Sexo","Idade","Parentesco","Naturalidade","Casado","Filhos","Filhosnr","Escola","Nível","Trabalhocasa","Trabalhocidade","Ocupação","Trabalha","Religião","FrequênciaReligiosa","ProficienciaPortuguês","ProficienciaTâmil","ProficienciaSingalês","ProficienciaInglês","ProficiênciaOutra","ContextoGeralPortuguês","ContextoGeralTâmil","ContextoGeralSingalês","ContextoGeralInglês","ContextoGeralOutro","ContextoCasaActualPortuguês","ContextoCasaActualTâmil","ContextoCasaActualSingalês","ContextoCasaActualInglês","ContextoCasaActualOutro","ContextoCasaCriançaPortuguês","ContextoCasaCriançaTâmil","ContextoCasaCriançaSingalês","ContextoCasaCriançaInglês","ContextoCasaCriançaOutro","ContextoPaisPortuguês","ContextoPaisTâmil","ContextoPaisSingalês","ContextoPaisInglês","ContextoPaisOutro","ContexoFilhosPortuguês","ContexoFilhosTâmil","ContexoFilhosSingalês","ContexoFilhosInglês","ContexoFilhosOutro","ContextoAmigosPortuguês","ContextoAmigosTâmil","ContextoAmigosSingalês","ContextoAmigosInglês","ContextoAmigosOutro","ContextoVizinhosPortuguês","ContextoVizinhosTâmil","ContextoVizinhosSingalês","ContextoVizinhosInglês","ContextoVizinhosOutro","ContextoLeituraPortuguês","ContextoLeituraTâmil","ContextoLeituraSingalês","ContextoLeituraInglês","ContextoLeituraOutro","ContextoEscritaPortuguês","ContextoEscritaTâmil","ContextoEscritaSingalês","ContextoEscritaInglês","ContextoEscritaOutro","ContextoEscolarSalaAulaPortuguês","ContextoEscolarSalaAulaTâmil","ContextoEscolarSalaAulaSingalês","ContextoEscolarSalaAulaInglês","ContextoEscolarSalaAulaOutro","ContextoEscolarColegasPortuguês","ContextoEscolarColegasTâmil","ContextoEscolarColegasSingalês","ContextoEscolarColegasInglês","ContextoEscolarColegasOutro","ContextoTrabalhoPortuguês","ContextoTrabalhoTâmil","ContextoTrabalhoSingalês","ContextoTrabalhoInglês","ContextoTrabalhoOutro","ContextoReligiosoPortuguês","ContextoReligiosoTâmil","ContextoReligiosoSingalês","ContextoReligiosoInglês","ContextoReligiosoOutro","Opinião1","Opinião2","Opinião3","Inquiridor","FaixaEtaria","VAR00001","VAR00002","filter_$","GrupoEtário","Fluência","FluênciaTamil","FluênciaCingalês","FluênciaInglês","FluênciaOutras","DS"
"Ampara","Sammanthurai",1,1,"Masculino",28,"Cônjuge","Sammanthunai","Sim","Não",0,1,1,1,"Não","Motorista","Sim","Católico","Semanalmente","Não fala nem entende","5","5","4","1",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","20-30",NA,NA,"Not Selected","20-29","Não-falantes","Falantes","Falantes","Falantes","Não-falantes","Samanthurai"
"Ampara","Sammanthurai",1,2,"Feminino",25,"Cônjuge","Sammanthunai","Sim","Não",0,1,1,2,"Não","Doméstica","Não","Católico","Diariamente","Não fala nem entende","5","1","4","1",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","20-30",NA,NA,"Not Selected","20-29","Não-falantes","Falantes","Não-falantes","Falantes","Não-falantes","Samanthurai"
"Ampara","Sammanthurai",2,1,"Masculino",48,"Cônjuge","Sammanthunai","Sim","Sim",2,1,2,1,"Sim","Carpinteiro","Sim","Católico","Semanalmente","Não fala nem entende","5","3","3","1",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","40-50",NA,NA,"Not Selected","40-49","Não-falantes","Falantes","Semi-falantes","Semi-falantes","Não-falantes","Samanthurai"
"Ampara","Sammanthurai",2,2,"Feminino",45,"Cônjuge","Kandy","Sim","Sim",2,1,3,2,"Não","Doméstica","Não","Católico","Diariamente","Não fala nem entende","5","1","1","1",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","40-50",NA,NA,"Not Selected","40-49","Não-falantes","Falantes","Não-falantes","Não-falantes","Não-falantes","Samanthurai"
"Ampara","Sammanthurai",2,3,"Feminino",21,"Filho/a","Sammanthunai","Não","Não",0,1,4,2,"Sim","Estudante","Não","Católico","Diariamente","Não fala nem entende","5","2","2","1",0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,2,0,0,1,0,2,0,0,1,0,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,2,0,1,1,1,"Kiliptan Sellar","20-30",NA,NA,"Not Selected","20-29","Não-falantes","Falantes","Semi-falantes","Semi-falantes","Não-falantes","Samanthurai"
"Ampara","Sammanthurai",2,4,"Feminino",18,"Filho/a","Sammanthunai","Não","Não",0,1,1,2,"Não","Estudante","Não","Católico","Diariamente","Não fala nem entende","5","1","2","1",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,2,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","10-20",NA,NA,"Not Selected","10-19","Não-falantes","Falantes","Não-falantes","Semi-falantes","Não-falantes","Samanthurai"
"Ampara","Sammanthurai",3,1,"Masculino",37,"Cônjuge","Kandy","Sim","Sim",1,1,3,1,"Sim","Motorista","Sim","Católico","Diariamente","Não fala nem entende","5","5","4","1",0,1,2,0,0,0,1,2,0,0,0,1,2,0,0,0,1,2,0,0,0,1,0,0,0,0,1,2,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,2,0,0,0,1,2,0,0,0,1,2,0,0,1,1,1,"Kiliptan Sellar","30-40",NA,NA,"Not Selected","30-39","Não-falantes","Falantes","Falantes","Falantes","Não-falantes","Samanthurai"
"Ampara","Sammanthurai",3,2,"Feminino",27,"Cônjuge","Sammanthunai","Sim","Sim",1,1,1,2,"Não","Costureira/Alfaiate","Sim","Católico","Diariamente","Não fala nem entende","5","1","4","1",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,"Kiliptan Sellar","20-30",NA,NA,"Not Selected","20-29","Não-falantes","Falantes","Não-falantes","Falantes","Não-falantes","Samanthurai"
"Ampara","Sammanthurai",3,3,"Feminino",6,"Filho/a","Kalmunai","Não","Não",NA,1,NA,2,"Não","Estudante","Não","Católico","Diariamente","Não fala nem entende","5","1","4","1",0,1,0,2,0,0,1,0,2,0,0,1,0,2,0,0,1,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,2,0,0,1,0,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,NA,0,1,1,1,"Kiliptan Sellar","0-10",NA,NA,"Not Selected","0-9","Não-falantes","Falantes","Não-falantes","Falantes","Não-falantes","Samanthurai"
"Ampara","Sammanthurai",4,1,"Masculino",39,"Cônjuge","Batticaloa","Sim","Sim",3,1,3,1,"Sim","Carpinteiro","Sim","Católico","Semanalmente","Entende e fala fluentemente","5","5","4","4",0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,4,2,1,0,0,0,1,1,1,"Kiliptan Sellar","30-40",NA,NA,"Not Selected","30-39","Falantes","Falantes","Falantes","Falantes","Falantes","Samanthurai"
